id,created_at,current_mA,flow_rate,doc_number,time,audio_url
10455,2025-04-22 06:36:04.562772+00,7666.25,64.48,10839,2025-04-22 06:36:02.906,
10454,2025-04-22 06:35:52.907543+00,7716.25,64.48,10838,2025-04-22 06:35:51.286,
10453,2025-04-22 06:35:41.297881+00,6971.25,64.61,10837,2025-04-22 06:35:39.716,
10452,2025-04-22 06:35:29.718751+00,7981.25,64.48,10836,2025-04-22 06:35:28.116,
10451,2025-04-22 06:35:18.125415+00,7763.75,64.24,10835,2025-04-22 06:35:16.536,
10450,2025-04-22 06:35:06.543166+00,7206.25,64.48,10834,2025-04-22 06:35:04.956,
10449,2025-04-22 06:34:54.944959+00,8077.5,64.36,10833,2025-04-22 06:34:53.356,
10448,2025-04-22 06:34:43.348402+00,7186.25,64.48,10832,2025-04-22 06:34:41.686,
10447,2025-04-22 06:34:31.69119+00,7742.5,64.48,10831,2025-04-22 06:34:30.106,
10446,2025-04-22 06:34:20.107504+00,8012.5,64.24,10830,2025-04-22 06:34:18.516,
10445,2025-04-22 06:34:08.52656+00,6745,64.24,10829,2025-04-22 06:34:06.866,
10444,2025-04-22 06:33:56.868094+00,7685,64.24,10828,2025-04-22 06:33:55.256,
10443,2025-04-22 06:33:45.257096+00,7660,64.48,10827,2025-04-22 06:33:43.676,
10442,2025-04-22 06:33:33.666966+00,7747.5,64.61,10826,2025-04-22 06:33:32.066,
10441,2025-04-22 06:33:22.065576+00,7565,64.36,10825,2025-04-22 06:33:20.426,
10440,2025-04-22 06:33:10.430892+00,7222.5,64.48,10824,2025-04-22 06:33:08.806,
10439,2025-04-22 06:32:58.803976+00,7307.5,64.24,10823,2025-04-22 06:32:57.216,
10438,2025-04-22 06:32:47.223072+00,7730,64.48,10822,2025-04-22 06:32:45.566,
10437,2025-04-22 06:32:35.566072+00,7931.25,64.24,10821,2025-04-22 06:32:33.966,
10436,2025-04-22 06:32:23.977076+00,7348.75,64.38,10820,2025-04-22 06:32:22.396,
10435,2025-04-22 06:32:12.404619+00,7765,64.24,10819,2025-04-22 06:32:10.776,
10434,2025-04-22 06:32:00.765867+00,7515,64.36,10818,2025-04-22 06:31:59.156,
10433,2025-04-22 06:31:49.157437+00,7507.5,64.36,10817,2025-04-22 06:31:47.546,
10432,2025-04-22 06:31:37.551882+00,7338.75,64.36,10816,2025-04-22 06:31:35.926,
10431,2025-04-22 06:31:25.934389+00,7651.25,64.48,10815,2025-04-22 06:31:24.316,
10430,2025-04-22 06:31:14.314874+00,7537.5,64.24,10814,2025-04-22 06:31:12.686,
10429,2025-04-22 06:31:02.68345+00,8118.75,64.36,10813,2025-04-22 06:31:01.016,
10428,2025-04-22 06:30:51.003691+00,8031.25,64.24,10812,2025-04-22 06:30:49.396,
10427,2025-04-22 06:30:39.381736+00,7976.25,64.24,10811,2025-04-22 06:30:37.756,
10426,2025-04-22 06:30:27.754454+00,7918.75,64.36,10810,2025-04-22 06:30:26.136,
10425,2025-04-22 06:30:16.146619+00,7920,64.24,10809,2025-04-22 06:30:14.566,
10424,2025-04-22 06:30:04.555324+00,8065,64.12,10808,2025-04-22 06:30:02.946,
10423,2025-04-22 06:29:52.951177+00,7813.75,64.12,10807,2025-04-22 06:29:51.356,
10422,2025-04-22 06:29:41.362724+00,7752.5,64.24,10806,2025-04-22 06:29:39.736,
10421,2025-04-22 06:29:29.745277+00,7913.75,64.24,10805,2025-04-22 06:29:28.166,
10420,2025-04-22 06:29:18.157777+00,7603.75,64.36,10804,2025-04-22 06:29:16.566,
10419,2025-04-22 06:29:06.554727+00,7522.5,64.48,10803,2025-04-22 06:29:04.986,
10418,2025-04-22 06:28:54.986693+00,6966.25,64.24,10802,2025-04-22 06:28:53.386,
10417,2025-04-22 06:28:43.393648+00,7726.25,64.24,10801,2025-04-22 06:28:41.756,
10416,2025-04-22 06:28:31.73977+00,8066.25,64.24,10800,2025-04-22 06:28:30.116,
10415,2025-04-22 06:28:20.103661+00,7432.5,64.36,10799,2025-04-22 06:28:18.426,
10414,2025-04-22 06:28:08.410412+00,7502.5,64.24,10798,2025-04-22 06:28:06.796,
10413,2025-04-22 06:27:56.78745+00,7087.5,64.24,10797,2025-04-22 06:27:55.156,
10412,2025-04-22 06:27:45.151264+00,6851.25,64.24,10796,2025-04-22 06:27:43.536,
10411,2025-04-22 06:27:33.54068+00,7768.75,64.24,10795,2025-04-22 06:27:31.936,
10410,2025-04-22 06:27:21.937646+00,7603.75,64.36,10794,2025-04-22 06:27:20.286,
10409,2025-04-22 06:27:10.271419+00,7696.25,64.36,10793,2025-04-22 06:27:08.646,
10408,2025-04-22 06:26:58.646282+00,7805,64.24,10792,2025-04-22 06:26:57.016,
10407,2025-04-22 06:26:47.015556+00,7731.25,64.61,10791,2025-04-22 06:26:45.366,
10406,2025-04-22 06:26:35.202526+00,7813.75,64.36,10790,2025-04-22 06:26:33.626,
10405,2025-04-22 06:26:23.633396+00,6672.5,64.48,10789,2025-04-22 06:26:22.026,
10404,2025-04-22 06:26:12.030058+00,6447.5,64.36,10788,2025-04-22 06:26:10.446,
10403,2025-04-22 06:26:00.451576+00,7562.5,64.36,10787,2025-04-22 06:25:58.886,
10402,2025-04-22 06:25:48.882647+00,7642.5,64.48,10786,2025-04-22 06:25:47.276,
10401,2025-04-22 06:25:37.262867+00,8111.25,64.61,10785,2025-04-22 06:25:35.666,
10400,2025-04-22 06:25:25.676041+00,7628.75,64.73,10784,2025-04-22 06:25:24.086,
10399,2025-04-22 06:25:14.080375+00,6570,64.73,10783,2025-04-22 06:25:12.266,
10398,2025-04-22 06:25:02.243901+00,6566.25,64.61,10782,2025-04-22 06:25:00.396,
10397,2025-04-22 06:24:50.398241+00,8133.75,64.85,10781,2025-04-22 06:24:48.796,
10396,2025-04-22 06:24:38.793429+00,7821.25,64.97,10780,2025-04-22 06:24:37.206,
10395,2025-04-22 06:24:27.209869+00,7962.5,64.85,10779,2025-04-22 06:24:25.606,
10394,2025-04-22 06:24:15.600466+00,7806.25,64.73,10778,2025-04-22 06:24:13.976,
10393,2025-04-22 06:24:03.97759+00,7913.75,64.97,10777,2025-04-22 06:24:02.396,
10392,2025-04-22 06:23:52.395972+00,7755,64.61,10776,2025-04-22 06:23:50.756,
10391,2025-04-22 06:23:40.735138+00,7757.5,64.61,10775,2025-04-22 06:23:39.036,
10390,2025-04-22 06:23:29.036722+00,7980,64.73,10774,2025-04-22 06:23:27.466,
10389,2025-04-22 06:23:17.433186+00,7732.5,64.61,10773,2025-04-22 06:23:15.806,
10388,2025-04-22 06:23:05.796848+00,7775,64.48,10772,2025-04-22 06:23:04.026,
10387,2025-04-22 06:22:54.029387+00,7181.25,64.97,10771,2025-04-22 06:22:52.406,
10386,2025-04-22 06:22:42.396723+00,7743.75,64.85,10770,2025-04-22 06:22:40.716,
10385,2025-04-22 06:22:30.701808+00,7937.5,64.85,10769,2025-04-22 06:22:29.116,
10384,2025-04-22 06:22:19.104741+00,7810,64.73,10768,2025-04-22 06:22:17.506,
10383,2025-04-22 06:22:07.500427+00,6523.75,64.73,10767,2025-04-22 06:22:05.896,
10382,2025-04-22 06:21:55.880842+00,6612.5,64.61,10766,2025-04-22 06:21:54.256,
10381,2025-04-22 06:21:44.263088+00,6520,64.48,10765,2025-04-22 06:21:42.666,
10380,2025-04-22 06:21:32.6492+00,7958.75,64.36,10764,2025-04-22 06:21:31.056,
10379,2025-04-22 06:21:21.054312+00,6412.5,64.61,10763,2025-04-22 06:21:19.456,
10378,2025-04-22 06:21:09.44858+00,7686.25,64.48,10762,2025-04-22 06:21:07.846,
10377,2025-04-22 06:20:57.847067+00,7867.5,64.36,10761,2025-04-22 06:20:56.120,
10376,2025-04-22 06:20:46.113994+00,7428.75,64.24,10760,2025-04-22 06:20:44.506,
10375,2025-04-22 06:20:34.504825+00,7850,64.48,10759,2025-04-22 06:20:32.876,
